"행정구역별(시군구)","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별","연령별",내국인(6세이상),초등학교-계,초등학교-졸업,초등학교-재학,초등학교-중퇴,중학교-계,중학교-졸업,중학교-재학,중학교-중퇴,고등학교-계,고등학교-졸업,고등학교-재학,고등학교-중퇴,대학(4년제 미만)-계,대학-졸업,대학-재학,대학-수료,대학-휴학,대학-중퇴,대학교(4년제 이상)-계,대학교-졸업,대학교-재학,대학교-수료,대학교-휴학,대학교-중퇴,대학원(석사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,대학원(박사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,받지않았음     (미취학 포함)
"광주광역시","계","합계",1396682,176998,76908,92603,7487,142125,80767,55972,5386,402805,330606,64718,7481,178693,142681,15224,2568,7885,10335,397839,287767,72281,3143,20725,13923,43896,29650,7732,5419,1095,14329,9361,2330,2482,156,39997
"동구","계","합계",98279,12333,8063,3667,603,10886,7976,2479,431,24847,21259,3042,546,10058,8035,908,158,385,572,31394,21102,7740,232,1290,1030,4002,2396,1083,467,56,1659,1075,213,345,26,3100
"서구","계","합계",288072,33872,13434,18875,1563,28150,15235,11969,946,81124,65827,13953,1344,35478,29326,2371,502,1570,1709,89152,68850,12573,713,4326,2690,9917,7082,1342,1266,227,2789,1949,358,446,36,7590
"남구","계","합계",209072,27166,13821,12124,1221,22564,13815,7864,885,56711,45410,10113,1188,23326,18463,1828,334,1137,1564,61203,44609,10634,520,3252,2188,8660,6060,1342,1072,186,2862,1900,346,592,24,6580
"북구","계","합계",431006,52280,24729,25452,2099,43899,26073,16093,1733,124385,102916,19015,2454,55985,44146,5390,658,2547,3244,124233,87722,24675,974,6612,4250,13565,8739,2699,1773,354,4621,2842,982,777,20,12038
"광산구","계","합계",370253,51347,16861,32485,2001,36626,17668,17567,1391,115738,95194,18595,1949,53846,42711,4727,916,2246,3246,91857,65484,16659,704,5245,3765,7752,5373,1266,841,272,2398,1595,431,322,50,10689
"대전광역시","계","합계",1432320,184552,86750,89923,7879,141130,82971,51322,6837,392938,325306,58592,9040,170390,129512,18201,2245,8222,12210,403973,281089,84176,2405,19381,16922,70199,51691,10872,6248,1388,30595,20255,5797,4132,411,38543
"동구","계","합계",230764,34987,20815,12414,1758,27243,18728,7013,1502,69370,59608,7864,1898,31052,21719,5194,326,1266,2547,53775,33085,15024,272,2718,2676,5048,3573,795,553,127,1159,771,186,186,16,8130
"중구","계","합계",235672,34564,18768,13892,1904,27651,18088,7966,1597,69699,58597,9413,1689,27019,21540,2020,373,1368,1718,58812,44534,8059,344,2989,2886,8708,6404,1242,929,133,2247,1563,291,354,39,6972
"서구","계","합계",460532,53594,22415,29126,2053,42198,23089,17244,1865,125905,102539,20591,2775,56902,43998,5413,721,2757,4013,141270,102421,25535,669,6828,5817,22058,16983,2456,2172,447,7818,5249,1026,1412,131,10787
"유성구","계","합계",319448,35079,10260,23764,1055,22532,9279,12530,723,65053,51001,12823,1229,32684,24912,3488,597,1489,2198,108537,74100,25797,899,4195,3546,30081,21578,5656,2231,616,18402,12114,4075,2009,204,7080
